Date,Close,High,Low,Open,Volume,Adj Close,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2007-10-12,101.57,101.65,101.48,101.58,42500,83.49772472,83.56349038,83.42373835,83.50594542,42500,0,1
2007-10-15,101.49,101.5418,101.3,101.3,5600,83.43195906,83.47454232,83.27576562,83.27576562,5600,0,1
2007-10-16,101.72,101.7299,101.59,101.7,15300,83.62103533,83.62917383,83.51416613,83.60459391,15300,0,1
2007-10-17,102.0595,102.12,101.73,101.73,10200,83.90012834,83.94986362,83.62925603,83.62925603,10200,0,1
2007-10-18,102.53,102.54,102.3,102.3,26200,84.28691262,84.29513333,84.09783635,84.09783635,26200,0,1
2007-10-19,102.94,102.94,102.67,102.67,40400,84.62396163,84.62396163,84.40200253,84.40200253,40400,0,1
2007-10-22,102.94,103.06,102.7899,102.91,11400,84.62396163,84.72261011,84.50056881,84.5992995,11400,0,1
2007-10-23,102.9,103.03,102.6,102.6,39900,84.5910788,84.69794799,84.34445757,84.34445757,39900,0,1
2007-10-24,103.282,103.43,103.02,103.02,49900,84.90510982,85.02677629,84.68972728,84.68972728,49900,0,1
2007-10-25,103.3,103.42,103.24,103.38,10000,84.91990709,85.01855558,84.87058285,84.98567275,10000,0,1
2007-10-26,103.21,103.38,103.0001,103.15,16800,84.84592072,84.98567275,84.67336808,84.79659648,16800,0,1
2007-10-29,103.19,103.25,103.0101,103.15,15500,84.82947931,84.87880355,84.68158878,84.79659648,15500,0,1
2007-10-30,103.21,103.22,103.0101,103.21,12600,84.84592072,84.85414143,84.68158878,84.84592072,12600,0,1
2007-10-31,102.85,103.12,102.7075,103.08,17800,84.54997526,84.77193436,84.43283018,84.73905153,17800,0,1
2007-11-01,103.05,103.12,102.55,102.55,24600,85.01231688,85.07006421,84.59983597,84.59983597,24600,0.362411,1
2007-11-02,103.18,103.4399,103.05,103.08,12200,85.11956192,85.3339695,85.01231688,85.03706574,12200,0,1
2007-11-05,103.22,103.43,103.2001,103.3,18300,85.1525604,85.32580238,85.13614366,85.21855734,18300,0,1
2007-11-06,103.13,103.3,103.09,103.11,5500,85.07831383,85.21855734,85.04531536,85.06181459,5500,0,1
2007-11-07,103.5,103.5667,103.2,103.2,30190,85.38354971,85.43857466,85.13606116,85.13606116,30190,0,1
2007-11-08,103.82,103.96,103.56,103.6,102400,85.6475375,85.76303215,85.43304742,85.46604589,102400,0,1
2007-11-09,104.16,104.23,103.95,104.06,22800,85.92802452,85.98577185,85.75478253,85.84552834,22800,0,1
2007-11-12,104.29,104.3,104.08,104.29,13100,86.03526956,86.04351918,85.86202757,86.03526956,13100,0,1
2007-11-13,103.67,104.08,103.67,104.08,13700,85.52379322,85.86202757,85.52379322,85.86202757,13700,0,1
2007-11-14,103.9,103.9,103.6,103.75,24900,85.71353444,85.71353444,85.46604589,85.58979017,24900,0,1
2007-11-15,104.3001,104.45,103.96,104.14,21600,86.04360167,86.16726345,85.76303215,85.91152528,21600,0,1
2007-11-16,104.3,104.56,104.2,104.38,25100,86.04351918,86.25800925,85.96102299,86.10951612,25100,0,1
2007-11-19,104.98,105.12,104.26,104.26,8930,86.60449322,86.71998788,86.0105207,86.0105207,8930,0,1
